Doc0 tragedy of romeo and juliet
Doc1 by william shakespeare
Doc2 dramatis personae
Doc3   chorus
Doc182     being one too many by my weary self 
Doc183     pursud my humour not pursuing his
Doc184     and gladly shunnd who gladly fled from me
Doc185   mon many a morning hath he there been seen
Doc186     with tears augmenting the fresh mornings dew
Doc187     adding to clouds more clouds with his deep sighs
Doc188     but all so soon as the all cheering sun
Doc189     should in the furthest east bean to draw
Doc190     the shady curtains from auroras bed
Doc191     away from light steals home my heavy son
Doc192     and private in his chamber pens himself
Doc193     shuts up his windows locks fair daylight
Doc194     and makes himself an artificial night
Doc195     black and portentous must this humour prove
Doc196     unless good counsel may the cause remove
Doc197   ben my noble uncle do you know the cause?
Doc198   mon i neither know it nor can learn of him
Doc199   ben have you importund him by any means?
Doc200   mon both by myself and many other friend
Doc201     but he his own affections counsellor
Doc202     is to himself  i will not say how true 
Doc203     but to himself so secret and so close
Doc204     so far from sounding and discovery
Doc205     as is the bud bit with an envious worm
Doc206     ere he can spread his sweet leaves to the air
Doc207     or dedicate his beauty to the sun
Doc208     could we but learn from whence his sorrows grow
Doc209     we would as willingly give cure as know
Doc210                        enter romeo
Doc211   ben see where he comes so please you step aside
Doc212     ill know his grievance or be much denied
Doc213   mon i would thou wert so happy by thy stay
Doc214     to hear true shrift come madam lets away
Doc215                                      exeunt [montague and wife]
Doc216   ben good morrow cousin
Doc217   rom is the day so young?
Doc218   ben but new struck nine
Doc219   rom ay me sad hours seem long
Doc220     was that my father that went hence so fast?
Doc221   ben it was what sadness lengthens romeos hours?
Doc222   rom not having that which having makes them short
Doc223   ben in love?
Doc224   rom out 
Doc225   ben of love?
Doc226   rom out of her favour where i am in love
Doc227   ben alas that love so gentle in his view
Doc228     should be so tyrannous and rough in proof
Doc229   rom alas that love whose view is muffled still
Doc230     should without eyes see pathways to his will
Doc231     where shall we dine? o me what fray was here?
Doc232     yet tell me not for i have heard it all
Doc233     heres much to do with hate but more with love
Doc234     why then o brawling love o loving hate
Doc235     o anything of nothing first create
Doc236     o heavy lightness serious vanity
Doc237     misshapen chaos of well seeming forms
Doc238     feather of lead bright smoke cold fire sick health
Doc239     still waking sleep that is not what it is
Doc240     this love feel i that feel no love in this
Doc241     dost thou not laugh?
Doc242   ben no coz i rather weep
Doc243   rom good heart at what?
Doc244   ben at thy good hearts oppression
Doc245   rom why such is loves transgression
Doc246     griefs of mine own lie heavy in my breast
Doc247     which thou wilt propagate to have it prest
Doc248     with more of thine this love that thou hast shown
Doc249     doth add more grief to too much of mine own
Doc250     love is a smoke raisd with the fume of sighs
Doc251     being purgd a fire sparkling in lovers eyes
Doc252     being vexd a sea nourishd with lovers tears
Doc253     what is it else? a madness most discreet
Doc254     a choking gall and a preserving sweet
Doc255     farewell my coz
Doc256   ben soft i will go along
Doc257     an if you leave me so you do me wrong
Doc258   rom tut i have lost myself i am not here
Doc259     this is not romeo hes some other where
Doc260   ben tell me in sadness who is that you love?
Doc261   rom what shall i groan and tell thee?
Doc262   ben groan? why no
Doc263     but sadly tell me who
Doc264   rom bid a sick man in sadness make his will
Doc265     ah word ill urgd to one that is so ill
Doc266     in sadness cousin i do love a woman
Doc267   ben i aimd so near when i supposd you lovd
Doc268   rom a right good markman and shes fair i love
Doc269   ben a right fair mark fair coz is soonest hit
Doc270   rom well in that hit you miss shell not be hit
Doc271     with cupids arrow she hath dians wit
Doc272     and in strong proof of chastity well armd
Doc273     from loves weak childish bow she lives unharmd
Doc274     she will not stay the siege of loving terms
Doc275     nor bide th encounter of assailing eyes
Doc276     nor ope her lap to saint seducing gold
Doc277     o shes rich in beauty only poor
Doc278     that when she dies with beauty dies her store
Doc279   ben then she hath sworn that she will still live chaste?
Doc280   rom she hath and in that sparing makes huge waste
Doc281     for beauty starvd with her severity
Doc282     cuts beauty off from all posterity
Doc283     she is too fair too wise wisely too fair
Doc284     to merit bliss by making me despair
Doc285     she hath forsworn to love and in that vow
Doc286     do i live dead that live to tell it now
Doc287   ben be ruld by me forget to think of her
Doc288   rom o teach me how i should forget to think
Doc289   ben by giving liberty unto thine eyes
Doc290     examine other beauties
Doc291   rom tis the way
Doc292     to call hers (exquisite) in question more
Doc293     these happy masks that kiss fair ladies brows
Doc294     being black puts us in mind they hide the fair
Doc295     he that is strucken blind cannot forget
Doc296     the precious treasure of his eyesight lost
Doc297     show me a mistress that is passing fair
Doc298     what doth her beauty serve but as a note
Doc299     where i may read who passd that passing fair?
Doc300     farewell thou canst not teach me to forget
Doc301   ben ill pay that doctrine or else die in debt      exeunt
Doc302 scene ii
Doc303 a street
Doc304 enter capulet county paris and [servant]  the clown
Doc305   cap but montague is bound as well as i
Doc306     in penalty alike and tis not hard i think
Doc307     for men so old as we to keep the peace
Doc308   par of honourable reckoning are you both
Doc309     and pity tis you livd at odds so long
Doc310     but now my lord what say you to my suit?
Doc311   cap but saying oer what i have said before
Doc312     my child is yet a stranger in the world
Doc313     she hath not seen the change of fourteen years
Doc314     let two more summers wither in their pride
Doc315     ere we may think her ripe to be a bride
Doc316   par younger than she are happy mothers made
Doc317   cap and too soon marrd are those so early made
Doc318     the earth hath swallowed all my hopes but she
Doc319     she is the hopeful lady of my earth
Doc320     but woo her gentle paris get her heart
Doc321     my will to her consent is but a part
Doc322     an she agree within her scope of choice
Doc323     lies my consent and fair according voice
Doc324     this night i hold an old accustomd feast
Doc325     whereto i have invited many a guest
Doc326     such as i love and you among the store
Doc327     one more most welcome makes my number more
Doc328     at my poor house look to behold this night
Doc329     earth treading stars that make dark heaven light
Doc330     such comfort as do lusty young men feel
Doc331     when well apparelld april on the heel
Doc332     of limping winter treads even such delight
Doc333     among fresh female buds shall you this night
Doc334     inherit at my house hear all all see
Doc335     and like her most whose merit most shall be
Doc336     which on more view of many mine being one
Doc337     may stand in number though in reckning none
Doc338     come go with me [to servant giving him a paper] go
Doc339     sirrah trudge about
Doc340     through fair verona find those persons out
Doc341     whose names are written there and to them say
Doc342     my house and welcome on their pleasure stay 
Doc343                                      exeunt [capulet and paris]
Doc344   serv find them out whose names are written here? it is written
Doc345     that the shoemaker should meddle with his yard and the tailor
Doc346     with his last the fisher with his pencil and the painter
Doc347     with his nets but i am sent to find those persons whose names are
Doc348     here writ and can never find what names the writing person
Doc349     hath here writ i must to the learned in good time
Doc350                    enter benvolio and romeo
Doc351   ben tut man one fire burns out anothers burning
Doc352     one pain is lessoned by anothers anguish
Doc353     turn giddy and be holp by backward turning
Doc354     one desperate grief cures with anothers languish
Doc355     take thou some new infection to thy eye
Doc356     and the rank poison of the old will die
Doc357   rom your plantain leaf is excellent for that
Doc358   ben for what i pray thee?
Doc359   rom for your broken shin
Doc360   ben why romeo art thou mad?
Doc361   rom not mad but bound more than a madman is
Doc362     shut up in prison kept without my food
Doc363     whippd and tormented and  god den good fellow
Doc364   serv god gi go den i pray sir can you read?
Doc365   rom ay mine own fortune in my misery
Doc366   serv perhaps you have learned it without book but i pray can
Doc367     you read anything you see?
Doc368   rom ay if i know the letters and the language
Doc369   serv ye say honestly rest you merry
Doc370   rom stay fellow i can read                       he reads
Doc371       signior martino and his wife and daughters
Doc372       county anselmo and his beauteous sisters
Doc373       the lady widow of vitruvio
Doc374       signior placentio and his lovely nieces
Doc375       mercutio and his brother valentine
Doc376       mine uncle capulet his wife and daughters
Doc377       my fair niece rosaline and livia
Doc378       signior valentio and his cousin tybalt
Doc379       lucio and the lively helena
Doc380     [gives back the paper] a fair assembly whither should they
Doc381     come?
Doc382   serv up
Doc383   rom whither?
Doc384   serv to supper to our house
Doc385   rom whose house?
Doc386   serv my masters
Doc387   rom indeed i should have askd you that before
Doc388   serv now ill tell you without asking my master is the great
Doc389     rich capulet and if you be not of the house of montagues i pray
Doc390     come and crush a cup of wine rest you merry               exit
Doc391   ben at this same ancient feast of capulets
Doc392     sups the fair rosaline whom thou so lovst
Doc393     with all the admired beauties of verona
Doc394     go thither and with unattainted eye
Doc395     compare her face with some that i shall show
Doc396     and i will make thee think thy swan a crow
Doc397   rom when the devout religion of mine eye
Doc398     maintains such falsehood then turn tears to fires
Doc399     and these who often drownd could never die
Doc400     transparent heretics be burnt for liars
Doc401     one fairer than my love? the all seeing sun
Doc402     neer saw her match since first the world begun
Doc403   ben tut you saw her fair none else being by
Doc404     herself poisd with herself in either eye
Doc405     but in that crystal scales let there be weighd
Doc406     your ladys love against some other maid
Doc407     that i will show you shining at this feast
Doc408     and she shall scant show well that now seems best
Doc409   rom ill go along no such sight to be shown
Doc410     but to rejoice in splendour of my own              [exeunt]
Doc411 scene iii
Doc412 capulets house
Doc413 enter capulets wife and nurse
Doc414   wife nurse wheres my daughter? call her forth to me
Doc415   nurse now by my maidenhead at twelve year old
Doc416     i bade her come what lamb what ladybird
Doc417     god forbid wheres this girl? what juliet
Doc418                          enter juliet
Doc419   jul how now? who calls?
Doc420   nurse your mother
Doc421   jul madam i am here
Doc422     what is your will?
Doc423   wife this is the matter  nurse give leave awhile
Doc424     we must talk in secret nurse come back again
Doc425     i have remembred me thous hear our counsel
Doc426     thou knowest my daughters of a pretty age
Doc427   nurse faith i can tell her age unto an hour
Doc428   wife shes not fourteen
Doc429   nurse ill lay fourteen of my teeth 
Doc430     and yet to my teen be it spoken i have but four 
Doc431     she is not fourteen how long is it now
Doc432     to lammastide?
Doc433   wife a fortnight and odd days
Doc434   nurse even or odd of all days in the year
Doc435     come lammas eve at night shall she be fourteen
Doc436     susan and she (god rest all christian souls)
Doc437     were of an age well susan is with god
Doc438     she was too good for me but as i said
Doc439     on lammas eve at night shall she be fourteen
Doc440     that shall she marry i remember it well
Doc441     tis since the earthquake now eleven years
Doc442     and she was weand (i never shall forget it)
Doc443     of all the days of the year upon that day
Doc444     for i had then laid wormwood to my dug
Doc445     sitting in the sun under the dovehouse wall
Doc446     my lord and you were then at mantua
Doc447     nay i do bear a brain but as i said
Doc448     when it did taste the wormwood on the nipple
Doc449     of my dug and felt it bitter pretty fool
Doc450     to see it tetchy and fall out with the dug
Doc451     shake quoth the dovehouse twas no need i trow
Doc452     to bid me trudge
Doc453     and since that time it is eleven years
Doc454     for then she could stand high lone nay by th rood
Doc455     she could have run and waddled all about
Doc456     for even the day before she broke her brow
Doc457     and then my husband (god be with his soul
Doc458     a was a merry man) took up the child
Doc459     yea quoth he dost thou fall upon thy face?
Doc460     thou wilt fall backward when thou hast more wit
Doc461     wilt thou not jule? and by my holidam
Doc462     the pretty wretch left crying and said ay
Doc463     to see now how a jest shall come about
Doc464     i warrant an i should live a thousand yeas
Doc465     i never should forget it wilt thou not jule? quoth he
Doc466     and pretty fool it stinted and said ay
Doc467   wife enough of this i pray thee hold thy peace
Doc468   nurse yes madam yet i cannot choose but laugh
Doc469     to think it should leave crying and say ay
Doc470     and yet i warrant it bad upon it brow
Doc471     a bump as big as a young cockrels stone
Doc472     a perilous knock and it cried bitterly
Doc473     yea quoth my husband fallst upon thy face?
Doc474     thou wilt fall backward when thou comest to age
Doc475     wilt thou not jule? it stinted and said ay
Doc476   jul and stint thou too i pray thee nurse say i
Doc477   nurse peace i have done god mark thee to his grace
Doc478     thou wast the prettiest babe that eer i nursd
Doc479     an i might live to see thee married once i have my wish
Doc480   wife marry that marry is the very theme
Doc481     i came to talk of tell me daughter juliet
Doc482     how stands your disposition to be married?
Doc483   jul it is an honour that i dream not of
Doc484   nurse an honour? were not i thine only nurse
Doc485     i would say thou hadst suckd wisdom from thy teat
Doc486   wife well think of marriage now younger than you
Doc487     here in verona ladies of esteem
Doc488     are made already mothers by my count
Doc489     i was your mother much upon these years
Doc490     that you are now a maid thus then in brief
Doc491     the valiant paris seeks you for his love
Doc492   nurse a man young lady lady such a man
Doc493     as all the world  why hes a man of wax
Doc494   wife veronas summer hath not such a flower
Doc495   nurse nay hes a flower in faith  a very flower
Doc496   wife what say you? can you love the gentleman?
Doc497     this night you shall behold him at our feast
Doc498     read oer the volume of young paris face
Doc499     and find delight writ there with beautys pen
Doc500     examine every married lineament
Doc501     and see how one another lends content
Doc502     and what obscurd in this fair volume lies
Doc503     find written in the margent of his eyes
Doc504     this precious book of love this unbound lover
Doc505     to beautify him only lacks a cover
Doc506     the fish lives in the sea and tis much pride
Doc507     for fair without the fair within to hide
Doc508     that book in manys eyes doth share the glory
Doc509     that in gold clasps locks in the golden story
Doc510     so shall you share all that he doth possess
Doc511     by having him making yourself no less
Doc512   nurse no less? nay bigger women grow by men
Doc513   wife speak briefly can you like of paris love?
Doc514   jul ill look to like if looking liking move
Doc515     but no more deep will i endart mine eye
Doc516     than your consent gives strength to make it fly
Doc517                         enter servingman
Doc518   serv madam the guests are come supper servd up you calld
Doc519     my young lady askd for the nurse cursd in the pantry and
Doc520     everything in extremity i must hence to wait i beseech you
Doc521     follow straight
Doc522   wife we follow thee                       exit [servingman]
Doc523     juliet the county stays
Doc524   nurse go girl seek happy nights to happy days
Doc525                                                          exeunt
Doc526 scene iv
Doc527 a street
Doc528 enter romeo mercutio benvolio with five or six other maskers
Doc529 torchbearers
Doc530   rom what shall this speech be spoke for our excuse?
Doc531     or shall we on without apology?
Doc532   ben the date is out of such prolixity
Doc533     well have no cupid hoodwinkd with a scarf
Doc534     bearing a tartars painted bow of lath
Doc535     scaring the ladies like a crowkeeper
Doc536     nor no without book prologue faintly spoke
Doc537     after the prompter for our entrance
Doc538     but let them measure us by what they will
Doc539     well measure them a measure and be gone
Doc540   rom give me a torch i am not for this ambling
Doc541     being but heavy i will bear the light
Doc542   mer nay gentle romeo we must have you dance
Doc543   rom not i believe me you have dancing shoes
Doc544     with nimble soles i have a soul of lead
Doc545     so stakes me to the ground i cannot move
Doc546   mer you are a lover borrow cupids wings
Doc547     and soar with them above a common bound
Doc548   rom i am too sore enpierced with his shaft
Doc549     to soar with his light feathers and so bound
Doc550     i cannot bound a pitch above dull woe
Doc551     under loves heavy burthen do i sink
Doc552   mer and to sink in it should you burthen love 
Doc553     too great oppression for a tender thing
Doc554   rom is love a tender thing? it is too rough
Doc555     too rude too boistrous and it pricks like thorn
Doc556   mer if love be rough with you be rough with love
Doc557     prick love for pricking and you beat love down
Doc558     give me a case to put my visage in
Doc559     a visor for a visor what care i
Doc560     what curious eye doth quote deformities?
Doc561     here are the beetle brows shall blush for me
Doc562   ben come knock and enter and no sooner in
Doc563     but every man betake him to his legs
Doc564   rom a torch for me let wantons light of heart
Doc565     tickle the senseless rushes with their heels
Doc566     for i am proverbd with a grandsire phrase
Doc567     ill be a candle holder and look on
Doc568     the game was neer so fair and i am done
Doc569   mer tut duns the mouse the constables own word
Doc570     if thou art dun well draw thee from the mire
Doc571     of this sir reverence love wherein thou stickst
Doc572     up to the ears come we burn daylight ho
Doc573   rom nay thats not so
Doc574   mer i mean sir in delay
Doc575     we waste our lights in vain like lamps by day
Doc576     take our good meaning for our judgment sits
Doc577     five times in that ere once in our five wits
Doc578   rom and we mean well in going to this masque
Doc579     but tis no wit to go
Doc580   mer why may one ask?
Doc581   rom i dreamt a dream to night
Doc582   mer and so did i
Doc583   rom well what was yours?
Doc584   mer that dreamers often lie
Doc585   rom in bed asleep while they do dream things true
Doc586   mer o then i see queen mab hath been with you
Doc587     she is the fairies midwife and she comes
Doc588     in shape no bigger than an agate stone
Doc589     on the forefinger of an alderman
Doc590     drawn with a team of little atomies
Doc591     athwart mens noses as they lie asleep
Doc592     her wagon spokes made of long spinners legs
Doc593     the cover of the wings of grasshoppers
Doc594     her traces of the smallest spiders web
Doc595     her collars of the moonshines watry beams
Doc596     her whip of crickets bone the lash of film
Doc597     her wagoner a small grey coated gnat
Doc598     not half so big as a round little worm
Doc599     prickd from the lazy finger of a maid
Doc600     her chariot is an empty hazelnut
Doc601     made by the joiner squirrel or old grub
Doc602     time out o mind the fairies coachmakers
Doc603     and in this state she gallops night by night
Doc604     through lovers brains and then they dream of love
Doc605     oer courtiers knees that dream on cursies straight
Doc606     oer lawyers fingers who straight dream on fees
Doc607     oer ladies lips who straight on kisses dream
Doc608     which oft the angry mab with blisters plagues
Doc609     because their breaths with sweetmeats tainted are
Doc610     sometime she gallops oer a courtiers nose
Doc611     and then dreams he of smelling out a suit
Doc612     and sometime comes she with a tithe pigs tail
Doc613     tickling a parsons nose as a lies asleep
Doc614     then dreams he of another benefice
Doc615     sometimes she driveth oer a soldiers neck
Doc616     and then dreams he of cutting foreign throats
Doc617     of breaches ambuscadoes spanish blades
Doc618     of healths five fadom deep and then anon
Doc619     drums in his ear at which he starts and wakes
Doc620     and being thus frighted swears a prayer or two
Doc621     and sleeps again this is that very mab
Doc622     that plats the manes of horses in the night
Doc623     and bakes the elflocks in foul sluttish hairs
Doc624     which once untangled much misfortune bodes
Doc625     this is the hag when maids lie on their backs
Doc626     that presses them and learns them first to bear
Doc627     making them women of good carriage
Doc628     this is she 
Doc629   rom peace peace mercutio peace
Doc630     thou talkst of nothing
Doc631   mer true i talk of dreams
Doc632     which are the children of an idle brain
Doc633     begot of nothing but vain fantasy
Doc634     which is as thin of substance as the air
Doc635     and more inconstant than the wind who wooes
Doc636     even now the frozen bosom of the north
Doc637     and being angerd puffs away from thence
Doc638     turning his face to the dew dropping south
Doc639   ben this wind you talk of blows us from ourselves
Doc640     supper is done and we shall come too late
Doc641   rom i fear too early for my mind misgives
Doc642     some consequence yet hanging in the stars
Doc643     shall bitterly begin his fearful date
Doc644     with this nights revels and expire the term
Doc645     of a despised life closd in my breast
Doc646     by some vile forfeit of untimely death
Doc647     but he that hath the steerage of my course
Doc648     direct my sail on lusty gentlemen
Doc649   ben strike drum
Doc650                            they march about the stage [exeunt]
Doc651 scene v
Doc652 capulets house
Doc653 servingmen come forth with napkins
Doc654   1 serv wheres potpan that he helps not to take away?
Doc655     he shift a trencher he scrape a trencher
Doc656   2 serv when good manners shall lie all in one or two mens
Doc657     hands and they unwashd too tis a foul thing
Doc658   1 serv away with the join stools remove the court cubbert
Doc659     look to the plate good thou save me a piece of marchpane and as
Doc660     thou loves me let the porter let in susan grindstone and
Doc661 nell
Doc662     anthony and potpan
Doc663   2 serv ay boy ready
Doc664   1 serv you are lookd for and calld for askd for and
Doc665     sought for in the great chamber
Doc666   3 serv we cannot be here and there too cheerly boys
Doc667     be brisk awhile and the longer liver take all      exeunt
Doc668     enter the maskers enter [with servants] capulet his wife
Doc669               juliet tybalt and all the guests
Doc670                and gentlewomen to the maskers
Doc671   cap welcome gentlemen ladies that have their toes
Doc672     unplagud with corns will have a bout with you
Doc673     ah ha my mistresses which of you all
Doc674     will now deny to dance? she that makes dainty
Doc675     she ill swear hath corns am i come near ye now?
Doc676     welcome gentlemen i have seen the day
Doc677     that i have worn a visor and could tell
Doc678     a whispering tale in a fair ladys ear
Doc679     such as would please tis gone tis gone tis gone
Doc680     you are welcome gentlemen come musicians play
Doc681     a hall a hall give room and foot it girls
Doc682                                     music plays and they dance
Doc683     more light you knaves and turn the tables up
Doc684     and quench the fire the room is grown too hot
Doc685     ah sirrah this unlookd for sport comes well
Doc686     nay sit nay sit good cousin capulet
Doc687     for you and i are past our dancing days
Doc688     how long ist now since last yourself and i
Doc689     were in a mask?
Doc690   2 cap byr lady thirty years
Doc691   cap what man? tis not so much tis not so much
Doc692     tis since the nuptial of lucentio
Doc693     come pentecost as quickly as it will
Doc694     some five and twenty years and then we maskd
Doc695   2 cap tis more tis more his son is elder sir
Doc696     his son is thirty
Doc697   cap will you tell me that?
Doc698     his son was but a ward two years ago
Doc699   rom [to a servingman] what ladys that which doth enrich the
Doc700     hand of yonder knight?
Doc701   serv i know not sir
Doc702   rom o she doth teach the torches to burn bright
Doc703     it seems she hangs upon the cheek of night
Doc704     like a rich jewel in an ethiops ear 
Doc705     beauty too rich for use for earth too dear
Doc706     so shows a snowy dove trooping with crows
Doc707     as yonder lady oer her fellows shows
Doc708     the measure done ill watch her place of stand
Doc709     and touching hers make blessed my rude hand
Doc710     did my heart love till now? forswear it sight
Doc711     for i neer saw true beauty till this night
Doc712   tyb this by his voice should be a montague
Doc713     fetch me my rapier boy what dares the slave
Doc714     come hither coverd with an antic face
Doc715     to fleer and scorn at our solemnity?
Doc716     now by the stock and honour of my kin
Doc717     to strike him dead i hold it not a sin
Doc718   cap why how now kinsman? wherefore storm you so?
Doc719   tyb uncle this is a montague our foe
Doc720     a villain that is hither come in spite
Doc721     to scorn at our solemnity this night
Doc722   cap young romeo is it?
Doc723   tyb tis he that villain romeo
Doc724   cap content thee gentle coz let him alone
Doc725     a bears him like a portly gentleman
Doc726     and to say truth verona brags of him
Doc727     to be a virtuous and well governd youth
Doc728     i would not for the wealth of all this town
Doc729     here in my house do him disparagement
Doc730     therefore be patient take no note of him
Doc731     it is my will the which if thou respect
Doc732     show a fair presence and put off these frowns
Doc733     an ill beseeming semblance for a feast
Doc734   tyb it fits when such a villain is a guest
Doc735     ill not endure him
Doc736   cap he shall be endurd
Doc737     what goodman boy? i say he shall go to
Doc738     am i the master here or you? go to
Doc739     youll not endure him? god shall mend my soul
Doc740     youll make a mutiny among my guests
Doc741     you will set cock a hoop youll be the man
Doc742   tyb why uncle tis a shame
Doc743   cap go to go to
Doc744     you are a saucy boy ist so indeed?
